State,State ab,RTO,RT Office
KL,Kerala,4,Alappuzha
KL,Kerala,5,Kottayam
KL,Kerala,6,Idukki township
KL,Kerala,7,Kochi
KL,Kerala,8,Thrissur
KL,Kerala,9,Palakkad
KL,Kerala,10,"Malappuramÿ(Part of Ernad, Perintalmanna & Tirur Taluks)"
KL,Kerala,11,Kozhikode
KL,Kerala,12,KalpettaÿWayanad District
KL,Kerala,13,Kannur
KL,Kerala,14,Kasaragod
KL,Kerala,15,Thiruvananthapuram
KL,Kerala,16,Attingal
KL,Kerala,17,Muvattupuzha
KL,Kerala,18,Vadakara
KL,Kerala,19,Parassala
KL,Kerala,20,Neyyattinkara
KL,Kerala,21,Nedumangad
KL,Kerala,22,TechnoparkÿKazhakoottam
KL,Kerala,23,Karunagappalli
KL,Kerala,24,Kottarakkara
KL,Kerala,25,Punalur
KL,Kerala,26,Adoor
KL,Kerala,27,Tiruvalla
KL,Kerala,28,Mallappally
KL,Kerala,29,Kayamkulam
KL,Kerala,30,Chengannur
KL,Kerala,31,Mavelikkara
KL,Kerala,32,Cherthala
KL,Kerala,33,Changanassery
KL,Kerala,34,Kanjirapalli
KL,Kerala,35,Pala
KL,Kerala,36,Vaikom
KL,Kerala,37,Vandiperiyar
KL,Kerala,38,Thodupuzha
KL,Kerala,39,Thripunithura
KL,Kerala,40,Perumbavoor
KL,Kerala,41,Aluva
KL,Kerala,42,Parur
KL,Kerala,43,Fort Kochi
KL,Kerala,44,Kothamangalam
KL,Kerala,45,Irinjalakuda
KL,Kerala,46,Guruvayur
KL,Kerala,47,Kodungallor
KL,Kerala,48,Wadakkancherry
KL,Kerala,49,Alathur
KL,Kerala,50,Mannarkkad
KL,Kerala,51,Ottapalam
KL,Kerala,52,Pattambi
KL,Kerala,53,Perinthalmannaÿ(Part of Perintalmanna Taluk)
KL,Kerala,54,Ponnaniÿ(Ponnani Taluk)
KL,Kerala,55,Tirurÿ(Part of Tirur Taluk)
KL,Kerala,56,Koyilandy
KL,Kerala,57,Koduvally
KL,Kerala,58,Thalassery
KL,Kerala,59,Taliparamba
KL,Kerala,60,Hosdurg
KL,Kerala,61,Sasthamkotta
KL,Kerala,62,Ranni
KL,Kerala,63,Angamaly
KL,Kerala,64,Chalakkudy
KL,Kerala,65,Tirurangadiÿ(Tirurangadi Taluk Full & Part of Tirur Taluk)
KL,Kerala,66,Kuttanad
KL,Kerala,67,Uzhavoor
KL,Kerala,68,Devikulam
KL,Kerala,69,Udumbanchola
KL,Kerala,70,Chittur
KL,Kerala,71,Nilamburÿ(Nilambur Taluk)
KL,Kerala,72,Mananthavady
KL,Kerala,73,Sulthan Bathery
KL,Kerala,74,Kattakada
KL,Kerala,75,Thriprayar
KL,Kerala,76,Nanmanda
KL,Kerala,77,Perambra
KL,Kerala,78,Iritty
KL,Kerala,79,Vellarikundu
KL,Kerala,80,Pathanapuram
KL,Kerala,81,Varkala
KL,Kerala,82,Chadayamangalam
KL,Kerala,83,Konni
KL,Kerala,84,Kondottyÿ(Kondotty Taluk Full & Part of Ernad Taluk)
KL,Kerala,85,Ramanattukara-Feroke
KL,Kerala,86,Payyannur
KL,Kerala,99,Trivandrum
LD,Lakshadweep,1,Kavaratti
LD,Lakshadweep,2,Agatti
LD,Lakshadweep,3,Amini
LD,Lakshadweep,4,Androth
LD,Lakshadweep,5,Kadmat
LD,Lakshadweep,6,Kiltan
LD,Lakshadweep,7,Kalpeni
LD,Lakshadweep,8,Kalpeni
LD,Lakshadweep,9,Minicoy
MH,Maharashtra,1,MumbaiÿCentral (Southern Suburbs)
MH,Maharashtra,2,MumbaiÿWest (Western Suburbs)
MH,Maharashtra,3,MumbaiÿEast (Eastern Suburbs)
MH,Maharashtra,4,Thane
MH,Maharashtra,5,"Kalyan, Thane District"
MH,Maharashtra,6,Raigad
MH,Maharashtra,7,Sindhudurg
MH,Maharashtra,8,Ratnagiri
MH,Maharashtra,9,Kolhapur
MH,Maharashtra,10,Sangli
MH,Maharashtra,11,Satara
MH,Maharashtra,12,Pune
MH,Maharashtra,13,Solapur
MH,Maharashtra,14,"Pimpri-Chinchwad,ÿPune"
MH,Maharashtra,15,Nashik
MH,Maharashtra,16,Ahmednagar
MH,Maharashtra,17,"Shrirampur, Ahmednagar District"
MH,Maharashtra,18,Dhule
MH,Maharashtra,19,Jalgaon
MH,Maharashtra,20,Aurangabad
MH,Maharashtra,21,Jalna
MH,Maharashtra,22,Parbhani
MH,Maharashtra,23,Beed
MH,Maharashtra,24,Latur
MH,Maharashtra,25,Osmanabad
MH,Maharashtra,26,Nanded
MH,Maharashtra,27,Amravati
MH,Maharashtra,28,Buldhana
MH,Maharashtra,29,Yavatmal
MH,Maharashtra,30,Akola
MH,Maharashtra,31,NagpurÿWest
MH,Maharashtra,32,Wardha
MH,Maharashtra,33,Gadchiroli
MH,Maharashtra,34,Chandrapur
MH,Maharashtra,35,Gondia
MH,Maharashtra,36,Bhandara
MH,Maharashtra,37,Washim
MH,Maharashtra,38,Hingoli
MH,Maharashtra,39,Nandurbar
MH,Maharashtra,40,NagpurÿRural
MH,Maharashtra,41,"Malegaon,ÿNashik District"
MH,Maharashtra,42,"Baramati, Pune District"
MH,Maharashtra,43,"Navi Mumbai, Thane District Limits"
MH,Maharashtra,44,"Ambajogai, Beed District"
MH,Maharashtra,45,"Akluj, Solapur District"
MH,Maharashtra,46,"Navi Mumbai, Raigad District Limits"
MH,Maharashtra,47,"Borivali, Mumbai (Northern Suburbs)"
